"90070","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.06","-118.31","NA","US","0","0",
"90071","STANDARD","Los Angeles",,"Arco, Arco-plaza","CA","Los Angeles County","America/Los_Angeles","213,323,818,626,310,424,562","34.05","-118.25","NA","US","0","964",
"90072","PO BOX","Los Angeles",,"Santa Western","CA","Los Angeles County","America/Los_Angeles","213","34.09","-118.3","NA","US","0","0",
"90073","PO BOX","Los Angeles","Veterans Adm, Veterans Admin, Veterans Administration, Veterans Admn",,"CA","Los Angeles County","America/Los_Angeles","310","34.05","-118.45","NA","US","0","0",
"90074","UNIQUE","Los Angeles",,"Bank Of America","CA","Los Angeles County","America/Los_Angeles","213","34.05","-118.26","NA","US","0","0",
"90075","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","323","34.06","-118.31","NA","US","0","0",
"90076","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","323","34.06","-118.31","NA","US","0","393",
"90077","STANDARD","Los Angeles",,"Barrington","CA","Los Angeles County","America/Los_Angeles","213,310,323","34.1","-118.45","NA","US","0","7412",
"90078","PO BOX","Los Angeles","Hollywood",,"CA","Los Angeles County","America/Los_Angeles","213,323","34.1","-118.32","NA","US","0","1047",
"90079","STANDARD","Los Angeles",,"Textile Boxes","CA","Los Angeles County","America/Los_Angeles","213,626,818,760,323,858","34.04","-118.25","NA","US","0","0",
"90080","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","33.95","-118.39","NA","US","0","0",
"90081","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.05","-118.26","NA","US","0","1017",
"90082","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34","-118.27","NA","US","0","0",
"90083","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","33.95","-118.39","NA","US","0","0",
"90084","UNIQUE","Los Angeles",,"Wells Fargo","CA","Los Angeles County","America/Los_Angeles","213","34.05","-118.26","NA","US","0","0",
"90086","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.06","-118.23","NA","US","0","550",
"90087","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","213","34.06","-118.23","NA","US","0","0",
"90088","UNIQUE","Los Angeles",,"Wells Fargo","CA","Los Angeles County","America/Los_Angeles","213","34.05","-118.26","NA","US","0","0",
"90089","UNIQUE","Los Angeles",,"University Of Southern Ca","CA","Los Angeles County","America/Los_Angeles","323,213","34.01","-118.28","NA","US","0","0",
"90090","UNIQUE","Dodgertown","Los Angeles","Los Angeles Dodgers","CA","Los Angeles County","America/Los_Angeles",,"34.07","-118.24","NA","US","0","0","no NWS data, "
"90091","PO BOX","Los Angeles","Commerce, Cty Of Cmmrce",,"CA","Los Angeles County","America/Los_Angeles","213","33.99","-118.15","NA","US","0","0",
"90093","PO BOX","Los Angeles",,,"CA","Los Angeles County","America/Los_Angeles","323","34.09","-118.33","NA","US","0","439",
"90094","STANDARD","Playa Vista","Los Angeles",,"CA","Los Angeles County","America/Los_Angeles","323","33.97","-118.43","NA","US","0","3903",
"90095","UNIQUE","Los Angeles","Ucla",,"CA","Los Angeles County","America/Los_Angeles","310","34.07","-118.44","NA","US","0","0",
"90096","UNIQUE","Los Angeles",,"Shared Firm Zip Code","CA","Los Angeles County","America/Los_Angeles","213","33.96","-118.17","NA","US","0","0",
